date,leading,coincident,lagging,leading_diffusion,coincident_diffusion
1991-01-01,56.6,44.6,40.2,33.3,80.0
1991-02-01,57.3,45.0,40.5,50.0,80.0
1991-03-01,57.5,44.6,40.4,83.3,80.0
1991-04-01,57.5,45.1,40.0,66.7,60.0
1991-05-01,57.9,45.6,40.7,50.0,80.0
1991-06-01,57.6,46.0,40.4,66.7,100.0
1991-07-01,58.7,46.4,40.9,83.3,100.0
1991-08-01,58.5,46.7,41.5,66.7,80.0
1991-09-01,58.1,47.0,41.0,50.0,100.0
1991-10-01,58.4,47.4,41.5,66.7,100.0
1991-11-01,56.5,47.6,41.2,50.0,80.0
1991-12-01,57.0,47.6,41.5,50.0,100.0
1992-01-01,57.6,48.8,41.8,50.0,100.0
1992-02-01,57.0,48.4,42.0,50.0,80.0
1992-03-01,57.7,48.5,42.3,50.0,80.0
1992-04-01,57.4,48.9,42.2,33.3,100.0
1992-05-01,57.6,49.0,42.7,50.0,80.0
1992-06-01,57.9,49.0,43.1,66.7,60.0
1992-07-01,57.8,49.8,43.1,50.0,60.0
1992-08-01,57.4,49.6,42.7,33.3,80.0
1992-09-01,57.3,49.3,43.3,33.3,60.0
1992-10-01,57.8,50.4,43.8,33.3,100.0
1992-11-01,57.9,50.1,43.6,50.0,80.0
1992-12-01,57.9,50.5,43.4,33.3,100.0
1993-01-01,58.5,50.5,43.8,66.7,60.0
1993-02-01,58.8,52.2,44.4,50.0,100.0
1993-03-01,58.4,52.0,44.4,66.7,100.0
1993-04-01,60.6,52.8,44.6,83.3,100.0
1993-05-01,60.9,53.1,44.8,83.3,100.0
1993-06-01,60.7,53.8,44.1,83.3,100.0
1993-07-01,61.2,54.1,45.0,100.0,100.0
1993-08-01,61.7,54.1,44.9,83.3,100.0
1993-09-01,63.4,54.6,45.4,100.0,100.0
1993-10-01,63.9,54.9,45.4,83.3,100.0
1993-11-01,63.9,55.4,45.4,83.3,100.0
1993-12-01,65.5,54.6,45.4,100.0,60.0
1994-01-01,65.8,55.9,45.4,83.3,80.0
1994-02-01,66.3,55.9,46.0,83.3,100.0
1994-03-01,65.0,56.2,45.8,33.3,80.0
