date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily
2010-01-01,12367891.0,11931152.0,436739.0,6927510.0,3.53,64.1,61.83,12368000.0,11959800.0,408200.0,3.3,64.0,,,,,,,,
2010-02-01,12059800.0,11632300.0,427400.0,7225100.0,3.54,62.53,60.32,12120100.0,11712800.0,402200.0,3.3,62.9,,,,,,,,
2010-03-01,12324200.0,11895900.0,428300.0,6993000.0,3.48,63.8,61.58,12242400.0,11817200.0,416700.0,3.4,63.4,,,,,,,,
2010-04-01,12512010.0,12133505.0,378505.0,6894505.0,3.03,64.47,62.52,12382100.0,12025300.0,377600.0,3.0,63.8,,,,,,,,
2010-05-01,12197600.0,11798900.0,398700.0,7186000.0,3.27,62.93,60.87,12197500.0,11790700.0,405700.0,3.3,63.0,,,,,,,,
2010-06-01,12331800.0,11882200.0,449600.0,7065000.0,3.6,63.58,61.26,12338500.0,11898300.0,423800.0,3.4,63.6,,,,,,,,
2010-07-01,12516196.0,12099494.0,416702.0,6900457.0,3.33,64.46,62.32,12419900.0,11996400.0,422500.0,3.4,64.0,,,,,,,,
2010-08-01,12320900.0,11936500.0,384300.0,7157900.0,3.12,63.25,61.28,12353800.0,11945300.0,400900.0,3.2,63.4,,,,,,,,
2010-09-01,12289900.0,11912100.0,377800.0,7194400.0,3.07,63.08,61.14,12330700.0,11957700.0,386300.0,3.1,63.3,,,,,,,,
2010-10-01,12689500.0,12342600.0,346800.0,6846700.0,2.73,64.95,63.18,12772300.0,12407000.0,370800.0,2.9,65.4,,,,,,,,
2010-11-01,12277466.0,11874113.0,403353.0,7298313.0,3.29,62.72,60.66,12392600.0,11966900.0,418200.0,3.4,63.3,,,,,,,,
2010-12-01,12822341.0,12418255.0,404086.0,6722319.0,3.15,65.61,63.54,12794900.0,12391600.0,406900.0,3.2,65.4,,,,,,,,
2011-01-01,12804193.0,12376008.0,428185.0,6881623.0,3.34,65.04,62.87,12782400.0,12383100.0,399600.0,3.1,64.8,,,,,,,,
2011-02-01,12618903.0,12245296.0,373607.0,7110270.0,2.96,63.96,62.07,12674900.0,12312500.0,357200.0,2.8,64.3,,,,,,,,
2011-03-01,12862200.0,12491800.0,370400.0,6940100.0,2.88,64.95,63.08,12778000.0,12409900.0,363400.0,2.8,64.6,,,,,,,,
2011-04-01,12921678.0,12537109.0,384569.0,6930574.0,2.98,65.09,63.15,12792600.0,12426600.0,388400.0,3.0,64.5,,,,,,,,
2011-05-01,12726628.0,12330288.0,396340.0,7133230.0,3.11,64.08,62.09,12757100.0,12352400.0,403000.0,3.2,64.3,,,,,,,,
2011-06-01,12782659.0,12372566.0,410093.0,7073704.0,3.21,64.38,62.31,12805000.0,12403000.0,390800.0,3.1,64.5,,,,,,,,
2011-07-01,12967390.0,12581506.0,385884.0,6920455.0,2.98,65.2,63.26,12858300.0,12466300.0,389100.0,3.0,64.7,,,,,,,,
2011-08-01,12887900.0,12486700.0,401200.0,7038600.0,3.11,64.68,62.66,12930600.0,12501400.0,415000.0,3.2,64.9,,,,,,,,
2011-09-01,12875857.0,12456872.0,418985.0,7032178.0,3.25,64.68,62.57,12906100.0,12496000.0,424300.0,3.3,64.8,,,,,,,,
2011-10-01,12938227.0,12550107.0,388120.0,7045657.0,3.0,64.74,62.8,13013100.0,12616900.0,409000.0,3.1,65.1,,,,,,,,
2011-11-01,12722430.0,12323693.0,398737.0,7245700.0,3.13,63.71,61.72,12829700.0,12410900.0,412600.0,3.2,64.3,,,,,,,,
2011-12-01,13092115.0,12687249.0,404866.0,6997310.0,3.09,65.17,63.15,13053800.0,12651300.0,405400.0,3.1,64.9,,,,,,,,
2012-01-01,13191637.0,12781253.0,410384.0,6878488.0,3.11,65.73,63.68,13164000.0,12781100.0,383300.0,2.9,65.5,,,,,,,,
2012-02-01,13054519.0,12645628.0,408891.0,7042264.0,3.13,64.96,62.92,13103100.0,12699100.0,394100.0,3.0,65.3,,,,,,,,
2012-03-01,13295406.0,12893842.0,401564.0,6897344.0,3.02,65.84,63.85,13221100.0,12822600.0,397200.0,3.0,65.5,,,,,,,,
2012-04-01,13331757.0,12936947.0,394810.0,6851332.0,2.96,66.05,64.1,13226300.0,12841500.0,403000.0,3.0,65.6,,,,,,,,
2012-05-01,13245552.0,12861183.0,384369.0,6952883.0,2.9,65.58,63.67,13293700.0,12903800.0,389000.0,2.9,65.9,,,,,,,,
2012-06-01,13232477.0,12811434.0,421043.0,7013732.0,3.18,65.36,63.28,13256600.0,12841100.0,407800.0,3.1,65.5,,,,,,,,
2012-07-01,13511698.0,13093348.0,418350.0,6777259.0,3.1,66.6,64.53,13413800.0,12988900.0,422400.0,3.1,66.1,,,,,,,,
2012-08-01,13313600.0,12963421.0,350179.0,7039910.0,2.63,65.41,63.69,13348900.0,12972100.0,359100.0,2.7,65.6,,,,,,,,
2012-09-01,13408548.0,12984547.0,424001.0,6993240.0,3.16,65.72,63.64,13416100.0,13002800.0,425000.0,3.2,65.8,,,,,,,,
2012-10-01,13341418.0,12908857.0,432561.0,7056246.0,3.24,65.41,63.29,13400900.0,12964400.0,448100.0,3.3,65.7,,,,,,,,
2012-11-01,13429158.0,13044574.0,384584.0,7094575.0,2.86,65.43,63.56,13520300.0,13119300.0,398400.0,2.9,65.9,,,,,,,,
2012-12-01,13538612.0,13114296.0,424316.0,7060597.0,3.13,65.72,63.66,13499300.0,13079500.0,423000.0,3.1,65.5,,,,,,,,
2013-01-01,13569616.0,13109790.0,459826.0,7035463.0,3.39,65.86,63.62,13550100.0,13113100.0,432800.0,3.2,65.6,,,,,,,,
2013-02-01,13598802.0,13195902.0,402900.0,7119767.0,2.96,65.64,63.69,13641800.0,13242500.0,389300.0,2.9,65.9,,,,,,,,
2013-03-01,13684374.0,13241749.0,442625.0,7116685.0,3.23,65.79,63.66,13625300.0,13188700.0,439500.0,3.2,65.5,,,,,,,,
2013-04-01,13835650.0,13422868.0,412782.0,6922697.0,2.98,66.65,64.66,13763500.0,13353900.0,422700.0,3.1,66.3,,,,,,,,
2013-05-01,13815303.0,13368899.0,446404.0,7005554.0,3.23,66.35,64.21,13867000.0,13414900.0,451700.0,3.3,66.7,,,,,,,,
2013-06-01,14217139.0,13816916.0,400223.0,6668594.0,2.82,68.07,66.15,14232800.0,13838300.0,392600.0,2.8,68.2,,,,,,,,
2013-07-01,14194590.0,13762996.0,431594.0,6655910.0,3.04,68.08,66.01,14119500.0,13683200.0,434000.0,3.1,67.7,,,,,,,,
2013-08-01,14176635.0,13734204.0,442431.0,6689846.0,3.12,67.94,65.82,14200800.0,13730900.0,451500.0,3.2,68.0,,,,,,,,
2013-09-01,14309448.0,13859525.0,449923.0,6557257.0,3.14,68.58,66.42,14295200.0,13852900.0,450000.0,3.1,68.5,,,,,,,,
2013-10-01,14169212.0,13699116.0,470096.0,6746332.0,3.32,67.74,65.5,14214800.0,13743200.0,481100.0,3.4,67.9,,,,,,,,
2013-11-01,14220894.0,13730394.0,490500.0,6716184.0,3.4,67.92,65.58,14279300.0,13773300.0,510800.0,3.6,68.2,,,,,,,,
2013-12-01,14276541.0,13836231.0,440310.0,6724250.0,3.08,67.98,65.88,14248600.0,13816100.0,437200.0,3.1,67.8,,,,,,,,
