date,overall,agriculture,mining,manufacturing,electricity,water
2010-01-01,98.4,92.7,99.4,98.8,99.8,99.2
2010-02-01,98.4,93.3,97.8,99.0,99.4,99.1
2010-03-01,99.9,96.1,108.6,99.2,100.5,99.2
2010-04-01,99.8,95.3,107.7,99.3,99.7,99.9
2010-05-01,98.6,94.1,91.4,99.8,100.3,101.5
2010-06-01,99.0,94.4,97.6,99.6,99.8,99.9
2010-07-01,98.5,93.7,98.4,98.9,100.3,99.6
2010-08-01,99.0,98.5,97.0,99.2,99.6,99.4
2010-09-01,98.8,99.4,90.4,99.8,99.8,99.5
2010-10-01,100.9,104.6,105.7,99.9,100.1,99.8
2010-11-01,102.9,114.2,100.5,102.2,99.5,101.0
2010-12-01,105.9,123.8,105.5,104.3,101.2,102.0
2011-01-01,108.3,131.5,109.8,106.0,100.9,102.8
2011-02-01,109.4,134.1,107.8,107.4,99.8,103.0
2011-03-01,111.8,123.0,133.2,108.4,101.2,104.3
2011-04-01,113.2,121.0,138.7,109.7,100.6,103.9
2011-05-01,113.2,121.4,137.2,110.0,100.7,104.3
2011-06-01,113.5,120.6,139.6,110.1,101.3,104.9
2011-07-01,113.3,115.6,143.6,109.8,103.8,105.1
2011-08-01,113.5,116.6,144.5,109.7,106.1,105.0
2011-09-01,113.2,116.1,143.9,109.3,107.7,103.9
2011-10-01,112.9,109.4,146.8,109.4,107.2,104.9
2011-11-01,112.2,113.2,140.2,108.8,109.0,104.2
2011-12-01,113.4,113.1,148.1,109.4,107.9,104.3
2012-01-01,113.4,115.5,142.1,109.9,108.3,103.5
2012-02-01,114.0,114.1,149.9,109.9,107.4,104.1
2012-03-01,115.3,118.3,157.2,110.2,108.4,104.1
2012-04-01,115.8,120.9,152.5,111.2,106.2,103.0
2012-05-01,114.1,114.8,139.5,111.3,107.0,103.5
2012-06-01,111.5,107.5,129.6,109.8,107.2,104.3
2012-07-01,112.4,108.7,138.3,109.9,106.6,105.2
2012-08-01,112.8,102.9,148.1,109.8,107.0,103.6
2012-09-01,110.8,100.6,145.1,107.8,106.4,104.4
2012-10-01,108.5,90.7,138.7,106.7,107.2,104.2
2012-11-01,107.0,89.4,128.8,106.1,107.1,104.5
2012-12-01,106.0,87.3,122.8,105.8,107.9,104.6
2013-01-01,107.9,91.6,137.5,105.9,107.3,105.6
2013-02-01,109.6,95.2,145.2,106.8,107.5,104.1
2013-03-01,108.2,93.4,135.4,106.4,108.3,104.7
2013-04-01,107.3,91.7,133.8,105.7,107.4,105.3
2013-05-01,106.6,91.7,129.6,105.3,108.4,104.2
2013-06-01,107.6,94.4,136.2,105.5,108.6,106.4
2013-07-01,108.2,93.2,141.4,105.6,108.1,108.0
2013-08-01,108.8,93.0,145.3,106.1,107.5,106.3
2013-09-01,109.4,93.8,145.9,106.6,108.2,107.9
2013-10-01,109.4,93.4,145.0,106.7,108.2,110.8
2013-11-01,110.2,98.4,144.7,107.3,107.4,108.3
2013-12-01,112.2,100.2,147.5,109.4,107.4,108.1
2014-01-01,111.9,99.9,144.4,109.3,110.4,106.6
2014-02-01,113.4,102.1,152.0,109.7,119.8,107.6
2014-03-01,113.9,107.0,147.9,110.2,121.5,107.7
2014-04-01,113.1,102.1,144.9,110.1,120.6,109.0
2014-05-01,112.2,99.5,145.4,109.1,121.5,107.1
2014-06-01,111.4,97.0,143.6,108.6,121.5,108.4
2014-07-01,111.0,95.4,137.9,108.9,122.6,106.8
2014-08-01,109.6,89.5,131.0,108.5,123.3,106.9
2014-09-01,109.2,87.4,133.2,108.2,117.4,107.5
2014-10-01,107.8,89.3,122.1,107.5,117.0,107.6
2014-11-01,107.3,90.8,116.1,107.6,115.7,108.3
2014-12-01,104.5,90.9,98.7,106.1,116.5,107.1
2015-01-01,104.1,95.2,88.8,106.4,115.8,107.4
2015-02-01,104.6,95.0,96.5,106.2,116.1,103.8
2015-03-01,103.8,95.0,92.0,105.7,116.9,107.8
2015-04-01,103.1,92.0,98.2,104.4,114.3,108.0
2015-05-01,101.6,91.4,94.7,103.0,115.0,109.1
2015-06-01,101.2,93.7,81.0,103.9,114.6,111.1
