variable,variable_en,variable_bm,sex,year,mean,median,recipients
15-19,15-19,15-19,overall,2010,713.0,650.0,240800
15-19,15-19,15-19,overall,2011,765.0,730.0,258100
15-19,15-19,15-19,overall,2012,776.0,700.0,255900
15-19,15-19,15-19,overall,2013,867.0,800.0,242800
15-19,15-19,15-19,overall,2014,898.0,900.0,253900
15-19,15-19,15-19,overall,2015,988.0,900.0,243200
15-19,15-19,15-19,overall,2016,1038.0,900.0,229000
15-19,15-19,15-19,overall,2017,1323.0,1180.0,227500
15-19,15-19,15-19,overall,2018,1429.0,1423.0,239200
15-19,15-19,15-19,overall,2019,1546.0,1450.0,274600
15-19,15-19,15-19,overall,2020,1415.0,1211.0,257600
15-19,15-19,15-19,overall,2021,1515.1,1479.0,266300
20-24,20-24,20-24,overall,2010,1172.0,1000.0,1114300
20-24,20-24,20-24,overall,2011,1181.0,1000.0,1135100
20-24,20-24,20-24,overall,2012,1226.0,1000.0,1099000
20-24,20-24,20-24,overall,2013,1307.0,1100.0,1162200
20-24,20-24,20-24,overall,2014,1352.0,1200.0,1160700
20-24,20-24,20-24,overall,2015,1401.0,1200.0,1137800
20-24,20-24,20-24,overall,2016,1494.0,1200.0,1124800
20-24,20-24,20-24,overall,2017,1643.0,1400.0,1150500
20-24,20-24,20-24,overall,2018,1780.0,1569.0,1153700
20-24,20-24,20-24,overall,2019,1850.0,1577.0,1196000
20-24,20-24,20-24,overall,2020,1575.0,1289.0,1184400
20-24,20-24,20-24,overall,2021,1690.9,1464.0,1224600
25-29,25-29,25-29,overall,2010,1717.0,1500.0,1495000
25-29,25-29,25-29,overall,2011,1725.0,1500.0,1601800
25-29,25-29,25-29,overall,2012,1806.0,1500.0,1607400
25-29,25-29,25-29,overall,2013,1912.0,1650.0,1601800
25-29,25-29,25-29,overall,2014,1985.0,1700.0,1652200
25-29,25-29,25-29,overall,2015,2082.0,1800.0,1638000
25-29,25-29,25-29,overall,2016,2166.0,1865.0,1645500
