variable,variable_en,variable_bm,sex,year,mean,median,recipients
overall,Overall,Keseluruhan,overall,2010,1936.0,1500.0,7149200
overall,Overall,Keseluruhan,overall,2011,1959.0,1500.0,7634000
overall,Overall,Keseluruhan,overall,2012,2052.0,1566.0,7782900
overall,Overall,Keseluruhan,overall,2013,2186.0,1700.0,7903100
overall,Overall,Keseluruhan,overall,2014,2377.0,1800.0,8392400
overall,Overall,Keseluruhan,overall,2015,2487.0,1942.0,8348600
overall,Overall,Keseluruhan,overall,2016,2657.0,2000.0,8424100
overall,Overall,Keseluruhan,overall,2017,2879.0,2160.0,8677100
overall,Overall,Keseluruhan,overall,2018,3087.0,2308.0,8761248
overall,Overall,Keseluruhan,overall,2019,3224.0,2442.0,9195200
overall,Overall,Keseluruhan,overall,2020,2933.0,2062.0,9390700
overall,Overall,Keseluruhan,overall,2021,3036.9,2250.0,9711900
msic_a,Agriculture,Pertanian,overall,2010,1159.0,780.0,223200
msic_a,Agriculture,Pertanian,overall,2011,1182.0,800.0,181000
msic_a,Agriculture,Pertanian,overall,2012,1229.0,900.0,202300
msic_a,Agriculture,Pertanian,overall,2013,1218.0,900.0,232600
msic_a,Agriculture,Pertanian,overall,2014,1351.0,1044.0,237600
msic_a,Agriculture,Pertanian,overall,2015,1543.0,1130.0,246200
msic_a,Agriculture,Pertanian,overall,2016,1729.0,1200.0,212500
msic_a,Agriculture,Pertanian,overall,2017,1825.0,1350.0,197700
msic_a,Agriculture,Pertanian,overall,2018,1865.0,1392.0,216800
msic_a,Agriculture,Pertanian,overall,2019,1997.0,1531.0,223900
msic_a,Agriculture,Pertanian,overall,2020,1598.0,1291.0,246300
msic_a,Agriculture,Pertanian,overall,2021,1775.9,1490.0,254000
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2010,3544.0,2800.0,52400
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2011,3557.0,2400.0,63000
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2012,3441.0,2500.0,72000
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2013,3558.0,2800.0,68200
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2014,5016.0,3500.0,70500
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2015,4295.0,3600.0,93500
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2016,4940.0,3690.0,99800
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2017,5706.0,3700.0,82600
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2018,6017.0,3703.0,82000
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2019,6154.0,3968.0,82300
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2020,5064.0,3402.0,70500
msic_b,Mining and quarrying ,Perlombongan dan pengkuarian,overall,2021,5039.5,3921.0,67500
msic_c,Manufacturing,Pembuatan,overall,2010,1691.0,1270.0,1480400
msic_c,Manufacturing,Pembuatan,overall,2011,1709.0,1320.0,1606700
msic_c,Manufacturing,Pembuatan,overall,2012,1884.0,1500.0,1594600
msic_c,Manufacturing,Pembuatan,overall,2013,1969.0,1500.0,1497800
msic_c,Manufacturing,Pembuatan,overall,2014,2154.0,1700.0,1617900
msic_c,Manufacturing,Pembuatan,overall,2015,2187.0,1610.0,1514000
msic_c,Manufacturing,Pembuatan,overall,2016,2348.0,1800.0,1557400
msic_c,Manufacturing,Pembuatan,overall,2017,2443.0,1900.0,1654600
msic_c,Manufacturing,Pembuatan,overall,2018,2565.0,1959.0,1590100
msic_c,Manufacturing,Pembuatan,overall,2019,2616.0,1967.0,1694300
msic_c,Manufacturing,Pembuatan,overall,2020,2542.0,1908.0,1770900
msic_c,Manufacturing,Pembuatan,overall,2021,2606.3,1976.0,1899600
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2010,2939.0,2300.0,47000
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2011,2706.0,2400.0,48800
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2012,2684.0,2200.0,60500
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2013,2940.0,2500.0,48900
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2014,2867.0,2500.0,63300
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2015,2877.0,2550.0,51200
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2016,3324.0,3000.0,79000
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2017,4011.0,3150.0,59900
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2018,4437.0,3324.0,66500
msic_d,"Electricity, gas, steam and air conditioning supply ","Bekalan elektrik, gas, wap dan pendingin udara",overall,2019,4573.0,3616.0,70100
