variable,variable_en,variable_bm,sex,year,mean,median,recipients
overall,Overall,Keseluruhan,overall,2010,1936.0,1500.0,7149200
overall,Overall,Keseluruhan,overall,2011,1959.0,1500.0,7634000
overall,Overall,Keseluruhan,overall,2012,2052.0,1566.0,7782900
overall,Overall,Keseluruhan,overall,2013,2186.0,1700.0,7903100
overall,Overall,Keseluruhan,overall,2014,2377.0,1800.0,8392400
overall,Overall,Keseluruhan,overall,2015,2487.0,1942.0,8348600
overall,Overall,Keseluruhan,overall,2016,2657.0,2000.0,8424100
overall,Overall,Keseluruhan,overall,2017,2879.0,2160.0,8677100
overall,Overall,Keseluruhan,overall,2018,3087.0,2308.0,8761200
overall,Overall,Keseluruhan,overall,2019,3224.0,2442.0,9195200
overall,Overall,Keseluruhan,overall,2020,2933.0,2062.0,9390700
overall,Overall,Keseluruhan,overall,2021,3036.9,2250.0,9711900
masco_1,Managers,Pengurus,overall,2010,4477.0,3500.0,368300
masco_1,Managers,Pengurus,overall,2011,4852.0,4000.0,322400
masco_1,Managers,Pengurus,overall,2012,5164.0,4000.0,293300
masco_1,Managers,Pengurus,overall,2013,5319.0,4500.0,278000
masco_1,Managers,Pengurus,overall,2014,6203.0,5000.0,292900
masco_1,Managers,Pengurus,overall,2015,6022.0,5300.0,285400
masco_1,Managers,Pengurus,overall,2016,6789.0,5450.0,279400
masco_1,Managers,Pengurus,overall,2017,7847.0,5800.0,263800
masco_1,Managers,Pengurus,overall,2018,8643.0,6276.0,243400
masco_1,Managers,Pengurus,overall,2019,8855.0,6908.0,286900
masco_1,Managers,Pengurus,overall,2020,6479.0,5423.0,343700
masco_1,Managers,Pengurus,overall,2021,6296.4,5412.0,298000
masco_2,Professionals,Profesional,overall,2010,3710.0,3274.0,658700
masco_2,Professionals,Profesional,overall,2011,3450.0,3115.0,1057600
masco_2,Professionals,Profesional,overall,2012,3729.0,3400.0,1115900
masco_2,Professionals,Profesional,overall,2013,3991.0,3690.0,1133600
masco_2,Professionals,Profesional,overall,2014,4315.0,4000.0,1245900
masco_2,Professionals,Profesional,overall,2015,4619.0,4200.0,1310800
masco_2,Professionals,Profesional,overall,2016,4691.0,4400.0,1557100
masco_2,Professionals,Profesional,overall,2017,5084.0,4470.0,1615100
masco_2,Professionals,Profesional,overall,2018,5424.0,4814.0,1666800
masco_2,Professionals,Profesional,overall,2019,5589.0,5175.0,1714800
masco_2,Professionals,Profesional,overall,2020,5301.0,4850.0,1692600
masco_2,Professionals,Profesional,overall,2021,5730.6,5435.0,1736400
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2010,2438.0,2200.0,1436500
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2011,2431.0,2195.0,1139100
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2012,2518.0,2300.0,1165800
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2013,2658.0,2500.0,1135000
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2014,2935.0,2615.0,1210800
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2015,3037.0,2720.0,1169300
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2016,3063.0,2784.0,1255800
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2017,3289.0,2840.0,1313900
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2018,3524.0,3022.0,1317400
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2019,3651.0,3278.0,1386200
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2020,3313.0,3028.0,1373800
masco_3,Technicians and associate professionals,Juruteknik dan profesional bersekutu,overall,2021,3491.8,3255.0,1448100
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2010,1589.0,1500.0,1098800
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2011,1672.0,1500.0,1108600
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2012,1737.0,1545.0,1122400
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2013,1848.0,1669.0,1147600
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2014,1939.0,1800.0,1150000
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2015,2020.0,1900.0,1176800
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2016,2126.0,2000.0,1082900
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2017,2211.0,2000.0,1177900
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2018,2322.0,2093.0,1184700
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2019,2482.0,2305.0,1224700
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2020,2370.0,2062.0,1148200
masco_4,Clerical support workers,Pekerja sokongan perkeranian,overall,2021,2386.5,2103.0,1220300
masco_5,Service and sales workers ,Pekerja perkhidmatan dan jualan,overall,2010,1371.0,1080.0,1195200
masco_5,Service and sales workers ,Pekerja perkhidmatan dan jualan,overall,2011,1344.0,1000.0,1456500
masco_5,Service and sales workers ,Pekerja perkhidmatan dan jualan,overall,2012,1387.0,1100.0,1454200
