variable,variable_en,variable_bm,sex,year,mean,median,recipients
overall,Overall,Keseluruhan,overall,2010,1936.0,1500.0,7149200
overall,Overall,Keseluruhan,overall,2011,1959.0,1500.0,7634000
overall,Overall,Keseluruhan,overall,2012,2052.0,1566.0,7782900
overall,Overall,Keseluruhan,overall,2013,2186.0,1700.0,7903100
overall,Overall,Keseluruhan,overall,2014,2377.0,1800.0,8392400
overall,Overall,Keseluruhan,overall,2015,2487.0,1942.0,8348600
overall,Overall,Keseluruhan,overall,2016,2657.0,2000.0,8424100
overall,Overall,Keseluruhan,overall,2017,2879.0,2160.0,8677100
overall,Overall,Keseluruhan,overall,2018,3087.0,2308.0,8761200
overall,Overall,Keseluruhan,overall,2019,3224.0,2442.0,9195200
overall,Overall,Keseluruhan,overall,2020,2933.0,2062.0,9390700
overall,Overall,Keseluruhan,overall,2021,3037.0,2250.0,9711900
skill_3,Skilled,Mahir,overall,2010,3083.0,2600.0,2463500
skill_3,Skilled,Mahir,overall,2011,3168.0,2760.0,2519100
skill_3,Skilled,Mahir,overall,2012,3344.0,3000.0,2575000
skill_3,Skilled,Mahir,overall,2013,3542.0,3000.0,2546600
skill_3,Skilled,Mahir,overall,2014,3908.0,3450.0,2749600
skill_3,Skilled,Mahir,overall,2015,4095.0,3500.0,2765500
skill_3,Skilled,Mahir,overall,2016,4219.0,3500.0,3092300
skill_3,Skilled,Mahir,overall,2017,4574.0,3600.0,3192800
skill_3,Skilled,Mahir,overall,2018,4891.0,3974.0,3227600
skill_3,Skilled,Mahir,overall,2019,5072.0,4468.0,3387900
skill_3,Skilled,Mahir,overall,2020,4619.0,4011.0,3410200
skill_3,Skilled,Mahir,overall,2021,4848.0,4471.0,3482500
skill_2,Semi-skilled,Separuh mahir,overall,2010,1384.0,1200.0,4074200
skill_2,Semi-skilled,Separuh mahir,overall,2011,1417.0,1200.0,4468800
skill_2,Semi-skilled,Separuh mahir,overall,2012,1475.0,1300.0,4491700
skill_2,Semi-skilled,Separuh mahir,overall,2013,1605.0,1400.0,4655100
skill_2,Semi-skilled,Separuh mahir,overall,2014,1695.0,1500.0,4909900
skill_2,Semi-skilled,Separuh mahir,overall,2015,1756.0,1500.0,4811500
skill_2,Semi-skilled,Separuh mahir,overall,2016,1816.0,1600.0,4621000
skill_2,Semi-skilled,Separuh mahir,overall,2017,1947.0,1680.0,4775000
skill_2,Semi-skilled,Separuh mahir,overall,2018,2094.0,1817.0,4792700
skill_2,Semi-skilled,Separuh mahir,overall,2019,2206.0,1900.0,5036600
skill_2,Semi-skilled,Separuh mahir,overall,2020,2007.0,1593.0,5215700
skill_2,Semi-skilled,Separuh mahir,overall,2021,2064.0,1781.0,5442800
skill_1,Low-skilled,Berkemahiran rendah,overall,2010,987.0,840.0,611600
skill_1,Low-skilled,Berkemahiran rendah,overall,2011,990.0,821.0,646100
skill_1,Low-skilled,Berkemahiran rendah,overall,2012,1019.0,836.0,716100
skill_1,Low-skilled,Berkemahiran rendah,overall,2013,1118.0,900.0,701400
skill_1,Low-skilled,Berkemahiran rendah,overall,2014,1201.0,1000.0,732900
skill_1,Low-skilled,Berkemahiran rendah,overall,2015,1288.0,1000.0,771500
skill_1,Low-skilled,Berkemahiran rendah,overall,2016,1323.0,1050.0,710800
skill_1,Low-skilled,Berkemahiran rendah,overall,2017,1531.0,1200.0,709300
skill_1,Low-skilled,Berkemahiran rendah,overall,2018,1648.0,1329.0,740900
skill_1,Low-skilled,Berkemahiran rendah,overall,2019,1751.0,1422.0,770700
skill_1,Low-skilled,Berkemahiran rendah,overall,2020,1727.0,1274.0,764900
skill_1,Low-skilled,Berkemahiran rendah,overall,2021,1749.0,1601.0,786700
overall,Overall,Keseluruhan,male,2010,2003.0,1500.0,4432600
overall,Overall,Keseluruhan,male,2011,2035.0,1500.0,4680100
overall,Overall,Keseluruhan,male,2012,2126.0,1600.0,4745000
overall,Overall,Keseluruhan,male,2013,2259.0,1800.0,4784200
overall,Overall,Keseluruhan,male,2014,2455.0,1888.0,5070700
overall,Overall,Keseluruhan,male,2015,2558.0,2000.0,5049400
overall,Overall,Keseluruhan,male,2016,2741.0,2000.0,5034400
overall,Overall,Keseluruhan,male,2017,2953.0,2170.0,5151200
overall,Overall,Keseluruhan,male,2018,3174.0,2342.0,5209800
overall,Overall,Keseluruhan,male,2019,3304.0,2477.0,5435900
overall,Overall,Keseluruhan,male,2020,2963.0,2093.0,5551000
overall,Overall,Keseluruhan,male,2021,3085.0,2315.0,5733900
skill_3,Skilled,Mahir,male,2010,3248.0,2631.0,1437600
skill_3,Skilled,Mahir,male,2011,3352.0,2800.0,1462200
skill_3,Skilled,Mahir,male,2012,3531.0,3000.0,1470900
skill_3,Skilled,Mahir,male,2013,3710.0,3000.0,1431600
skill_3,Skilled,Mahir,male,2014,4083.0,3430.0,1552800
skill_3,Skilled,Mahir,male,2015,4313.0,3500.0,1538100
skill_3,Skilled,Mahir,male,2016,4458.0,3553.0,1711200
skill_3,Skilled,Mahir,male,2017,4828.0,3600.0,1757900
skill_3,Skilled,Mahir,male,2018,5155.0,3997.0,1780100
skill_3,Skilled,Mahir,male,2019,5269.0,4497.0,1889400
skill_3,Skilled,Mahir,male,2020,4758.0,3918.0,1862600
skill_3,Skilled,Mahir,male,2021,4943.0,4422.0,1983000
