variable,variable_en,variable_bm,sex,year,mean,median,recipients
johor,Johor,Johor,overall,2010,1795.0,1500.0,913900
johor,Johor,Johor,overall,2011,1940.0,1520.0,973900
johor,Johor,Johor,overall,2012,2035.0,1695.0,972000
johor,Johor,Johor,overall,2013,2114.0,1700.0,1023900
johor,Johor,Johor,overall,2014,2466.0,2000.0,1054200
johor,Johor,Johor,overall,2015,2549.0,2200.0,1013800
johor,Johor,Johor,overall,2016,2656.0,2200.0,1039099
johor,Johor,Johor,overall,2017,2932.0,2250.0,1092000
johor,Johor,Johor,overall,2018,3227.8072514776745,2418.0,1106000
johor,Johor,Johor,overall,2019,3266.0,2512.0,1133600
johor,Johor,Johor,overall,2020,2840.0,2124.0,1162100
johor,Johor,Johor,overall,2021,2853.3,2184.0,1169200
kedah,Kedah,Kedah,overall,2010,1501.0,1060.0,449400
kedah,Kedah,Kedah,overall,2011,1555.0,1190.0,442900
kedah,Kedah,Kedah,overall,2012,1543.0,1150.0,434400
kedah,Kedah,Kedah,overall,2013,1759.0,1200.0,455700
kedah,Kedah,Kedah,overall,2014,1972.0,1300.0,502500
kedah,Kedah,Kedah,overall,2015,2024.0,1400.0,519600
kedah,Kedah,Kedah,overall,2016,2109.0,1510.0,502700
kedah,Kedah,Kedah,overall,2017,2193.0,1650.0,506200
kedah,Kedah,Kedah,overall,2018,2293.663681232702,1703.0,529300
kedah,Kedah,Kedah,overall,2019,2413.0,1748.0,550600
kedah,Kedah,Kedah,overall,2020,2300.0,1474.0,583800
kedah,Kedah,Kedah,overall,2021,2465.0,1757.0,622800
kelantan,Kelantan,Kelantan,overall,2010,1645.0,1000.0,252200
kelantan,Kelantan,Kelantan,overall,2011,1622.0,1000.0,288200
kelantan,Kelantan,Kelantan,overall,2012,1604.0,1000.0,290200
kelantan,Kelantan,Kelantan,overall,2013,1662.0,1000.0,293400
kelantan,Kelantan,Kelantan,overall,2014,1853.0,1040.0,314900
kelantan,Kelantan,Kelantan,overall,2015,2069.0,1200.0,337700
kelantan,Kelantan,Kelantan,overall,2016,2248.0,1345.0,352900
kelantan,Kelantan,Kelantan,overall,2017,2319.0,1500.0,362100
kelantan,Kelantan,Kelantan,overall,2018,2418.7941263028943,1604.0,367500
kelantan,Kelantan,Kelantan,overall,2019,2571.0,1639.0,383900
kelantan,Kelantan,Kelantan,overall,2020,2463.0,1343.0,409500
kelantan,Kelantan,Kelantan,overall,2021,2542.6,1632.0,440800
melaka,Melaka,Melaka,overall,2010,1717.0,1300.0,227200
melaka,Melaka,Melaka,overall,2011,1765.0,1350.0,234500
melaka,Melaka,Melaka,overall,2012,1879.0,1440.0,238100
melaka,Melaka,Melaka,overall,2013,2061.0,1580.0,244900
melaka,Melaka,Melaka,overall,2014,2123.0,1660.0,255000
melaka,Melaka,Melaka,overall,2015,2174.0,1600.0,187300
melaka,Melaka,Melaka,overall,2016,2297.0,1760.0,271300
melaka,Melaka,Melaka,overall,2017,2565.0,2145.0,284200
melaka,Melaka,Melaka,overall,2018,2852.8189094463924,2332.0,283800
melaka,Melaka,Melaka,overall,2019,2990.0,2415.0,299500
melaka,Melaka,Melaka,overall,2020,2925.0,2120.0,320500
melaka,Melaka,Melaka,overall,2021,2937.1,2190.0,345900
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2010,1885.0,1500.0,234500
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2011,1975.0,1500.0,267400
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2012,1922.0,1500.0,267700
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2013,2246.0,1800.0,268200
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2014,2445.0,1800.0,281100
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2015,2464.0,1950.0,275600
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2016,2628.0,2060.0,294800
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2017,2874.0,2170.0,303200
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2018,3047.873847696847,2348.0,309100
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2019,3218.0,2433.0,314900
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2020,3013.0,2062.0,332900
negeri-sembilan,Negeri Sembilan,Negeri Sembilan,overall,2021,3045.3,2297.0,326600
pahang,Pahang ,Pahang ,overall,2010,1660.0,1341.0,315200
pahang,Pahang ,Pahang ,overall,2011,1695.0,1380.0,347800
pahang,Pahang ,Pahang ,overall,2012,1718.0,1327.0,348400
pahang,Pahang ,Pahang ,overall,2013,1919.0,1500.0,338400
pahang,Pahang ,Pahang ,overall,2014,2062.0,1585.0,391200
pahang,Pahang ,Pahang ,overall,2015,2122.0,1620.0,507300
pahang,Pahang ,Pahang ,overall,2016,2185.0,1650.0,374500
pahang,Pahang ,Pahang ,overall,2017,2425.0,1870.0,386100
pahang,Pahang ,Pahang ,overall,2018,2661.8285515247985,2111.0,393100
pahang,Pahang ,Pahang ,overall,2019,2754.0,2225.0,424700
pahang,Pahang ,Pahang ,overall,2020,2684.0,1753.0,452000
pahang,Pahang ,Pahang ,overall,2021,2708.1,1917.0,449700
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2010,1944.0,1500.0,501400
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2011,2016.0,1500.0,527900
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2012,2021.0,1515.0,525800
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2013,2106.0,1631.0,529100
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2014,2339.0,1800.0,553000
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2015,2414.0,1900.0,556200
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2016,2603.0,2000.0,555800
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2017,2672.0,2160.0,565600
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2018,2811.0565481357407,2215.0,566200
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2019,3022.0,2346.0,586700
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2020,2883.0,2082.0,613600
pulau-pinang,Pulau Pinang ,Pulau Pinang ,overall,2021,3079.6,2353.0,600200
perak,Perak,Perak,overall,2010,1622.0,1200.0,545700
perak,Perak,Perak,overall,2011,1607.0,1200.0,594900
perak,Perak,Perak,overall,2012,1712.0,1300.0,584700
perak,Perak,Perak,overall,2013,1732.0,1300.0,589700
perak,Perak,Perak,overall,2014,1859.0,1441.0,644800
perak,Perak,Perak,overall,2015,2030.0,1500.0,653500
perak,Perak,Perak,overall,2016,2206.0,1650.0,647900
perak,Perak,Perak,overall,2017,2281.0,1700.0,659200
